PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
120,Nordin Amrabat,Watford,3,202,0,0,0.02,0.11,0.01,0.05
121,Nathan Aké,Bournemouth,3,270,0,0,0.05,0.00,0.02,0.00
122,Craig Cathcart,Watford,1,23,0,0,0.00,0.00,0.00,0.00
123,John Stones,Manchester City,3,158,0,0,0.00,0.00,0.00,0.00
124,Phil Jagielka,Everton,3,265,0,0,0.00,0.00,0.00,0.00
125,Leighton Baines,Everton,3,270,0,0,0.00,0.04,0.00,0.01
126,Gareth Barry,West Bromwich Albion,2,180,0,0,0.00,0.00,0.00,0.00
127,Aaron Lennon,Everton,1,5,0,0,0.07,0.04,1.24,0.65
128,Kevin Mirallas,Everton,1,12,0,0,0.00,0.00,0.00,0.00
129,Tom Cleverley,Watford,3,270,0,0,0.13,0.17,0.04,0.06
130,Dejan Lovren,Liverpool,3,181,0,0,0.09,0.05,0.05,0.03
131,Emre Can,Liverpool,2,176,0,1,0.11,0.94,0.05,0.48
132,Jordan Henderson,Liverpool,3,270,0,0,0.42,0.15,0.14,0.05
133,Christian Benteke,Crystal Palace,3,270,0,0,0.68,0.19,0.23,0.06
134,Alberto Moreno,Liverpool,2,180,0,0,0.05,0.12,0.02,0.06
135,Joe Hart,West Ham,3,270,0,0,0.00,0.00,0.00,0.00
136,Pablo Zabaleta,West Ham,3,270,0,0,0.00,0.03,0.00,0.01
137,Nicolás Otamendi,Manchester City,3,270,0,0,0.48,0.00,0.16,0.00
138,Vincent Kompany,Manchester City,3,270,0,0,0.06,0.00,0.02,0.00
139,Fernandinho,Manchester City,3,270,0,0,0.12,0.10,0.04,0.03
140,David Silva,Manchester City,3,270,0,2,0.43,1.03,0.14,0.34
141,Kelechi Iheanacho,Leicester,1,6,0,0,0.00,0.00,0.00,0.00
142,Antonio Valencia,Manchester United,3,270,0,0,0.04,0.11,0.01,0.04
143,James McArthur,Crystal Palace,2,105,0,0,0.29,0.01,0.25,0.01
144,Hugo Lloris,Tottenham,3,270,0,0,0.00,0.00,0.00,0.00
145,Kyle Walker,Manchester City,2,133,0,0,0.00,0.03,0.00,0.02
146,Toby Alderweireld,Tottenham,3,270,0,0,0.07,0.02,0.02,0.01
147,Jan Vertonghen,Tottenham,3,270,0,0,0.04,0.02,0.01,0.01
148,Mousa Dembélé,Tottenham,3,270,0,0,0.12,0.09,0.04,0.03
149,Eric Dier,Tottenham,3,251,0,0,0.13,0.10,0.05,0.04
150,Christian Eriksen,Tottenham,3,269,0,2,0.42,1.21,0.14,0.41
151,Harry Kane,Tottenham,3,270,0,0,2.55,0.23,0.85,0.08
152,Kieran Trippier,Tottenham,2,180,0,0,0.00,0.03,0.00,0.01
153,Tom Carroll,Swansea,3,270,0,0,0.00,0.39,0.00,0.13
154,James Collins,West Ham,1,90,0,0,0.00,0.00,0.00,0.00
155,Diafra Sakho,West Ham,3,62,0,0,0.42,0.00,0.61,0.00
156,Idrissa Gueye,Everton,3,270,0,0,0.08,0.00,0.03,0.00
157,Ashley Westwood,Burnley,1,8,0,0,0.00,0.05,0.00,0.56
158,Thibaut Courtois,Chelsea,3,270,0,0,0.00,0.00,0.00,0.00
159,César Azpilicueta,Chelsea,3,270,0,1,0.03,0.72,0.01,0.24
160,Pedro,Chelsea,2,86,0,1,0.21,0.10,0.22,0.10
